City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Mar Del Plata,AR,2022-07-10 22:28:58,-38.0023,-57.5575,52.09,76,0,11.99
133,Cidreira,BR,2022-07-10 22:28:58,-30.1811,-50.2056,64.29,85,100,11.43
134,Qaanaaq,GL,2022-07-10 22:26:51,77.484,-69.3632,43.34,74,100,6.17
135,San Patricio,US,2022-07-10 22:21:58,28.017,-97.5169,103.15,35,7,17.02
136,Port Augusta,AU,2022-07-10 22:28:59,-32.5,137.7667,42.55,62,29,10.07
137,Esperance,AU,2022-07-10 22:29:59,-33.8667,121.9,54.66,77,81,8.72
138,Gold Coast,AU,2022-07-10 22:30:00,-28.0,153.4333,60.19,84,100,10.36
139,Jamestown,US,2022-07-10 22:26:08,42.097,-79.2353,80.02,27,0,1.99
140,Bayji,IQ,2022-07-10 22:30:00,34.9311,43.487,91.62,18,0,20.76
141,Nelson Bay,AU,2022-07-10 22:30:00,-32.7167,152.15,54.0,97,96,8.79
142,Tokuyama,JP,2022-07-10 22:30:01,34.05,131.8167,80.22,87,89,6.29
143,Husavik,IS,2022-07-10 22:30:01,66.0449,-17.3389,52.65,96,100,3.04
144,Kodiak,US,2022-07-10 22:26:16,57.79,-152.4072,65.71,55,100,14.97
145,Asau,RO,2022-07-10 22:20:37,46.4333,26.4,59.92,89,76,4.79
146,Chivasso,IT,2022-07-10 22:30:02,45.1894,7.8872,78.69,62,0,5.75
147,Puqi,CN,2022-07-10 22:30:02,29.7167,113.8833,83.77,81,25,4.52
148,Bredasdorp,ZA,2022-07-10 22:30:03,-34.5322,20.0403,48.49,82,47,6.46
149,Granada,ES,2022-07-10 22:30:03,37.25,-3.25,73.11,56,3,2.95
150,Mosetse,BW,2022-07-10 22:30:03,-20.75,26.65,56.91,45,1,5.59
151,Quatre Cocos,MU,2022-07-10 22:30:04,-20.2078,57.7625,70.09,62,78,20.67
152,Biak,ID,2022-07-10 22:30:04,-0.9131,122.8766,73.18,89,100,3.44
153,Talnakh,RU,2022-07-10 22:28:10,69.4865,88.3972,47.21,61,26,6.44
154,Comodoro Rivadavia,AR,2022-07-10 22:30:04,-45.8667,-67.5,33.66,75,40,11.5
155,Aloleng,PH,2022-07-10 22:30:05,16.1307,119.7824,82.22,81,40,4.52
156,Port Lincoln,AU,2022-07-10 22:30:05,-34.7333,135.8667,52.29,67,98,14.61
157,Shakawe,BW,2022-07-10 22:20:40,-18.3667,21.85,56.91,43,0,3.44
158,Bontang,ID,2022-07-10 22:30:06,0.1333,117.5,75.63,94,76,6.55
159,La Ronge,CA,2022-07-10 22:21:54,55.1001,-105.2842,79.02,29,75,8.05
160,Hulyaypole,UA,2022-07-10 22:30:07,47.6653,36.2578,64.53,91,99,4.05
161,Alpena,US,2022-07-10 22:30:07,45.0617,-83.4327,84.52,32,0,9.22
162,Najran,SA,2022-07-10 22:30:07,17.4924,44.1277,88.45,32,100,14.79
163,Nanortalik,GL,2022-07-10 22:20:34,60.1432,-45.2371,43.75,83,51,4.43
164,Ribeira Grande,PT,2022-07-10 22:21:43,38.5167,-28.7,67.77,79,16,7.76
165,Atuona,PF,2022-07-10 22:30:08,-9.8,-139.0333,77.14,79,40,16.82
166,Staryy Nadym,RU,2022-07-10 22:30:08,65.6118,72.6842,52.86,82,12,8.39
167,Thompson,CA,2022-07-10 22:30:09,55.7435,-97.8558,80.76,36,40,9.22
168,Temerloh,MY,2022-07-10 22:30:09,3.4483,102.4176,73.71,98,98,1.86
169,Bambanglipuro,ID,2022-07-10 22:30:10,-7.95,110.2833,73.13,91,46,3.51
170,Kudahuvadhoo,MV,2022-07-10 22:30:10,2.6708,72.8944,81.81,77,100,9.24
171,Polunochnoye,RU,2022-07-10 22:30:10,60.8697,60.4153,61.18,72,64,3.18
172,Bengkulu,ID,2022-07-10 22:24:18,-3.8004,102.2655,73.89,89,92,4.12
173,Tuktoyaktuk,CA,2022-07-10 22:30:11,69.4541,-133.0374,51.8,87,100,4.61
174,Burnie,AU,2022-07-10 22:30:11,-41.0667,145.9167,51.94,77,100,13.65
175,Khatanga,RU,2022-07-10 22:30:12,71.9667,102.5,46.72,59,79,11.56
176,Elko,US,2022-07-10 22:30:12,41.0002,-115.5012,93.06,7,0,5.99
177,Huarmey,PE,2022-07-10 22:30:12,-10.0681,-78.1522,63.72,82,26,10.16
178,Saint Anthony,US,2022-07-10 22:23:02,45.0205,-93.218,83.14,72,100,8.05
179,Puerto Colombia,CO,2022-07-10 22:30:13,10.9878,-74.9547,82.49,83,99,14.25
180,Libreville,GA,2022-07-10 22:30:13,0.3925,9.4537,72.73,77,17,7.63
181,Gotsu,JP,2022-07-10 22:30:14,35.0,132.2167,80.33,79,100,2.53
182,Kaitangata,NZ,2022-07-10 22:30:14,-46.2817,169.8464,43.86,73,58,9.06
183,Paamiut,GL,2022-07-10 22:24:27,61.994,-49.6678,39.56,92,18,20.45
184,Lata,PT,2022-07-10 22:30:15,40.1629,-8.3327,63.81,84,0,2.28
185,Saint George,US,2022-07-10 22:31:15,37.1041,-113.5841,109.63,11,0,9.22
186,Cortez,US,2022-07-10 22:31:15,37.3489,-108.5859,93.96,23,0,6.91
187,Manggar,ID,2022-07-10 22:24:29,-2.8833,108.2667,81.25,78,91,8.37
188,Carnarvon,AU,2022-07-10 22:31:16,-24.8667,113.6333,58.12,69,0,16.73
189,Jumla,NP,2022-07-10 22:31:16,29.2747,82.1838,60.22,91,97,2.1
190,Avarua,CK,2022-07-10 22:28:11,-21.2078,-159.775,78.85,50,75,11.5
191,Coquimbo,CL,2022-07-10 22:31:17,-29.9533,-71.3436,55.13,100,100,10.36
192,Sechura,PE,2022-07-10 22:31:17,-5.5569,-80.8222,68.7,66,66,15.68
193,Kenai,US,2022-07-10 22:31:17,60.5544,-151.2583,67.03,74,0,10.36
194,Hornepayne,CA,2022-07-10 22:31:18,49.2138,-84.7705,68.54,85,100,10.47
195,Bethel,US,2022-07-10 22:31:18,41.3712,-73.414,81.52,45,0,4.61
196,Timra,SE,2022-07-10 22:31:18,62.487,17.3257,55.67,94,100,6.91
197,Alofi,NU,2022-07-10 22:31:19,-19.0595,-169.9187,78.69,73,94,18.41
198,Mahibadhoo,MV,2022-07-10 22:21:56,3.7833,72.9667,81.86,76,99,11.63
199,Makakilo City,US,2022-07-10 22:31:19,21.3469,-158.0858,86.32,52,20,19.57
200,Saint-Paul,RE,2022-07-10 22:31:20,-21.0096,55.2707,69.37,67,29,2.24
201,Langsa,ID,2022-07-10 22:31:20,4.4683,97.9683,74.98,97,99,1.72
202,Severo-Yeniseyskiy,RU,2022-07-10 22:31:20,60.3725,93.0408,49.91,81,1,4.07
203,Bosaso,SO,2022-07-10 22:31:21,11.2842,49.1816,87.85,39,65,29.48
204,Barra Do Garcas,BR,2022-07-10 22:31:21,-15.89,-52.2567,72.27,37,4,1.32
205,Los Llanos De Aridane,ES,2022-07-10 22:31:22,28.6585,-17.9182,77.13,63,0,13.8
